date,exercise_title,set_volume
2025-01-03,Bench Press (Barbell),665.0
2025-01-03,Butterfly (Pec Deck),790.0
2025-01-03,Shoulder Press (Machine Plates),480.0
2025-01-05,Goblet Squat,315.0
2025-01-05,Leg Press (Machine),1200.0
2025-01-05,Lying Leg Curl (Machine),1050.0
2025-01-05,Reverse Lunge,0.0
2025-01-05,Single Leg Standing Calf Raise (Barbell),0.0
2025-01-08,Bicep Curl (Machine),540.0
2025-01-08,Hammer Curl (Cable),360.0
2025-01-08,Lat Pulldown (Cable),650.0
2025-01-08,Single Arm Cable Row,200.0
2025-01-08,T Bar Row,150.0
2025-01-09,Leg Press (Machine),1820.0
2025-01-09,Lying Leg Curl (Machine),1260.0
2025-01-14,Bench Press (Barbell),1035.0
2025-01-14,Butterfly (Pec Deck),1010.0
2025-01-14,Lateral Raise (Dumbbell),135.0
2025-01-14,Shoulder Press (Machine Plates),340.0
2025-01-14,Triceps Rope Pushdown,420.0
2025-01-15,Leg Press (Machine),4280.0
2025-01-15,Lying Leg Curl (Machine),1870.0
2025-01-15,Squat (Barbell),595.0
2025-01-18,Bicep Curl (Machine),700.0
2025-01-18,Hammer Curl (Cable),380.0
2025-01-18,Lat Pulldown (Cable),1990.0
2025-01-18,Seated Cable Row - Bar Grip,1155.0
2025-01-18,Single Arm Cable Row,262.5
2025-01-26,Bench Press (Barbell),1290.0
2025-01-26,Chest Press (Machine),450.0
2025-01-26,Lateral Raise (Dumbbell),160.0
2025-01-26,Shoulder Press (Machine Plates),565.0
2025-01-26,Triceps Rope Pushdown,525.0
