"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Bench Press (Barbell)",,"",0,"normal",55,6,,,
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Bench Press (Barbell)",,"",1,"normal",55,8,,,
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Bench Press (Barbell)",,"",2,"normal",65,8,,,
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Shoulder Press (Machine Plates)",,"",0,"normal",25,7,,,
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Shoulder Press (Machine Plates)",,"",1,"normal",30,6,,,
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Shoulder Press (Machine Plates)",,"",2,"normal",30,7,,,
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Chest Press (Machine)",,"",0,"normal",30,5,,,
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Chest Press (Machine)",,"",1,"normal",30,5,,,
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Chest Press (Machine)",,"",2,"normal",30,5,,,
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Lateral Raise (Dumbbell)",,"",0,"normal",10,5,,,
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Lateral Raise (Dumbbell)",,"",1,"normal",10,5,,,
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Lateral Raise (Dumbbell)",,"",2,"normal",10,6,,,
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Triceps Rope Pushdown",,"",0,"normal",25,7,,,
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Triceps Rope Pushdown",,"",1,"normal",25,7,,,
"Chest, Shoulders, Triceps","26 Jan 2025, 16:21","26 Jan 2025, 17:11","","Triceps Rope Pushdown",,"",2,"normal",25,7,,,
"Back & Biceps","18 Jan 2025, 17:09","18 Jan 2025, 18:02","","Lat Pulldown (Cable)",,"",0,"normal",70,9,,,
"Back & Biceps","18 Jan 2025, 17:09","18 Jan 2025, 18:02","","Lat Pulldown (Cable)",,"",1,"normal",80,8,,,
"Back & Biceps","18 Jan 2025, 17:09","18 Jan 2025, 18:02","","Lat Pulldown (Cable)",,"",2,"normal",90,8,,,
"Back & Biceps","18 Jan 2025, 17:09","18 Jan 2025, 18:02","","Bicep Curl (Machine)",,"",0,"normal",35,7,,,
"Back & Biceps","18 Jan 2025, 17:09","18 Jan 2025, 18:02","","Bicep Curl (Machine)",,"",1,"normal",35,6,,,
"Back & Biceps","18 Jan 2025, 17:09","18 Jan 2025, 18:02","","Bicep Curl (Machine)",,"",2,"normal",35,7,,,
"Back & Biceps","18 Jan 2025, 17:09","18 Jan 2025, 18:02","","Seated Cable Row - Bar Grip",,"",0,"normal",55,7,,,
"Back & Biceps","18 Jan 2025, 17:09","18 Jan 2025, 18:02","","Seated Cable Row - Bar Grip",,"",1,"normal",55,6,,,
"Back & Biceps","18 Jan 2025, 17:09","18 Jan 2025, 18:02","","Seated Cable Row - Bar Grip",,"",2,"normal",40,11,,,
"Back & Biceps","18 Jan 2025, 17:09","18 Jan 2025, 18:02","","Hammer Curl (Cable)",,"",0,"normal",20,6,,,
"Back & Biceps","18 Jan 2025, 17:09","18 Jan 2025, 18:02","","Hammer Curl (Cable)",,"",1,"normal",20,7,,,
